"element"	"variable"	"slope"	"R2"
"1"	"N"	"sst"	"-2.84618220065834"	"0.8007"
"2"	"N"	"chloro"	"1.04277152811213"	"0.8153"
"3"	"P"	"sst"	"-3.14525104292766"	"0.7875"
"4"	"P"	"chloro"	"1.09360328196713"	"0.83"
"5"	"Fe"	"sst"	"-3.12041895564899"	"0.7935"
"6"	"Fe"	"chloro"	"1.08935730749782"	"0.8304"
"7"	"Cu"	"sst"	"-1.69403505627662"	"0.7292"
"8"	"Cu"	"chloro"	"0.817703452677527"	"0.6934"
"9"	"Mn"	"sst"	"-2.98870571473918"	"0.7608"
"10"	"Mn"	"chloro"	"1.09826908274434"	"0.828"
"11"	"Se"	"sst"	"-2.99403457291326"	"0.8018"
"12"	"Se"	"chloro"	"1.06022990016426"	"0.8193"
"13"	"Zn"	"sst"	"-2.7315266602535"	"0.799"
"14"	"Zn"	"chloro"	"1.04609021004993"	"0.8265"
"15"	"Co"	"sst"	"-2.28817121268402"	"0.7808"
"16"	"Co"	"chloro"	"1.00369061405527"	"0.7934"
